individual	Coverage	Depth	Fraglen	GC
Cataponera_turdoides	0.878456	7.20677	123	38.94
Turdus_celaenops_NRM90188019	0.882567	11.0129	111	37.94
Turdus_chrysolaus_orii_UWBM83174	0.894912	6.85897	152	39.45
Turdus_feae_BMNH1905910913	0.885093	11.8565	109	38.94
Turdus_merula	0.941377	19.6788	147	40.45
Turdus_niveiceps_NRM569330	0.886903	15.6742	143	37.44
Turdus_obscurus_UWBM78352	0.912045	10.4768	149	36.93
Turdus_pallidus_UWBM75229	0.914573	17.2924	150	37.94
Turdus_poliocephalus_albifrons_AMNH336537	0.881056	10.7931	114	38.94
Turdus_poliocephalus_becki_AMNH213123	0.885474	21.8036	114	38.44
Turdus_poliocephalus_becki_AMNH213130	0.882423	12.3096	109	38.94
Turdus_poliocephalus_becki_AMNH213136	0.882623	12.2338	115	38.94
Turdus_poliocephalus_becki_AMNH213163	0.854682	3.7452	120	38.94
Turdus_poliocephalus_beehleri_USNM584915	0.896865	18.4315	149	39.45
Turdus_poliocephalus_bougainvillei_AMNH226224	0.881115	10.6947	112	38.44
Turdus_poliocephalus_canescens_QMO19743	0.465533	0.737516	69	39.95
Turdus_poliocephalus_celebensis_AMNH299444	0.877436	5.92935	116	39.95
Turdus_poliocephalus_deningeri_ZMUC148358	0.906815	10.1247	150	37.94
Turdus_poliocephalus_efatensis_AMNH213129	0.882185	12.5279	110	38.94
Turdus_poliocephalus_efatensis_AMNH21349	0.906038	9.64512	150	37.44
Turdus_poliocephalus_erythropleurus_AMNH338105	0.881533	11.1223	116	38.44
Turdus_poliocephalus_erythropleurus_AMNH768697	0.806379	4.9267	106	47.49
Turdus_poliocephalus_fumidus_NRM569331	0.883755	13.2032	136	37.44
Turdus_poliocephalus_hades_AMNH223922	0.881752	11.2505	115	38.94
Turdus_poliocephalus_heinrothi_AMNH575398	0.883329	15.2511	124	37.94
Turdus_poliocephalus_hygroscopus_AMNH12571	0.907721	10.7056	151	36.93
Turdus_poliocephalus_indrapurae_AMNH575637	0.883805	15.7899	121	37.94
Turdus_poliocephalus_javanicus_AMNH575611	0.881294	12.0006	105	38.94
Turdus_poliocephalus_katanglad_ZMUC138022	0.887253	14.1645	127	38.44
Turdus_poliocephalus_kelleri_ZMUC141795	0.879828	9.85881	104	37.44
Turdus_poliocephalus_kulambangrae_AMNH215	0.908544	11.9836	150	36.93
Turdus_poliocephalus_layardi_AMNH252626	0.87874	8.88398	111	38.44
Turdus_poliocephalus_layardi_AMNH252627	0.88255	14.7681	114	38.44
Turdus_poliocephalus_layardi_AMNH252636	0.883164	14.0021	120	38.44
Turdus_poliocephalus_layardi_AMNH252655	0.881842	12.041	112	38.44
Turdus_poliocephalus_loeseri_YPM41020	0.880287	10.8026	111	37.94
Turdus_poliocephalus_malekulae_AMNH21367	0.905039	8.63215	150	36.93
Turdus_poliocephalus_malekulae_AMNH214424	0.882326	11.9306	118	38.44
Turdus_poliocephalus_malekulae_AMNH216313	0.883503	12.576	128	38.44
Turdus_poliocephalus_malindangensis_ZMUC141794	0.885899	15.6086	118	38.94
Turdus_poliocephalus_mareensis_AMNH575490	0.880278	10.3518	116	37.94
Turdus_poliocephalus_mayonensis_ZMUC02632	0.909596	11.6279	151	37.44
Turdus_poliocephalus_mindorensis_AMNH575605	0.808049	2.78023	123	36.43
Turdus_poliocephalus_nigrorum_ZMUC138023	0.883817	15.4248	115	38.44
Turdus_poliocephalus_papuensis_AMNH19847	0.910873	14.5357	150	37.94
Turdus_poliocephalus_papuensis_ZMUC150143	0.909898	11.7294	148	37.94
Turdus_poliocephalus_papuensis_ZMUC192303	0.908328	11.1175	150	37.94
Turdus_poliocephalus_placens_AMNH21538	0.906982	10.1715	149	36.93
Turdus_poliocephalus_placens_AMNH216295	0.884247	15.3354	126	38.44
Turdus_poliocephalus_poliocephalus_AMNH454235	0.882049	12.6576	118	38.44
Turdus_poliocephalus_pritzbueri_AMNH336817	0.882425	10.1769	115	39.95
Turdus_poliocephalus_pritzbueri_RMNH146375	0.874343	6.11708	118	37.94
Turdus_poliocephalus_rennellianus_AMNH6594	0.904723	8.4297	151	37.44
Turdus_poliocephalus_ruficeps_AMNH252598	0.881005	10.985	110	38.94
Turdus_poliocephalus_samoensis_AMNH206154	0.880253	11.0528	110	38.94
Turdus_poliocephalus_samoensis_AMNH206897	0.880643	10.5932	107	38.94
Turdus_poliocephalus_schlegelii_AMNH345779	0.88387	14.9584	116	37.94
Turdus_poliocephalus_seebohmi_AMNH575639	0.882193	11.6071	115	38.44
Turdus_poliocephalus_sladeni_AMNH22868	0.907375	10.6809	150	36.93
Turdus_poliocephalus_sspunknown_AMNH336962	0.884566	19.3173	116	38.44
Turdus_poliocephalus_sspunknown_CMCB36870	0.913172	14.882	142	37.94
Turdus_poliocephalus_sspunknown_CMCB37307	0.91429	16.6599	142	37.94
Turdus_poliocephalus_sspunknown_FMNH358378	0.884042	11.963	129	38.94
Turdus_poliocephalus_sterlingi_AMNH345801	0.883463	12.9414	116	38.44
Turdus_poliocephalus_stresemanni_RMNH81993	0.882107	6.26365	138	37.94
Turdus_poliocephalus_tempesti_AMNH252562	0.879203	9.30414	103	38.94
Turdus_poliocephalus_thomassoni_AMNH416872	0.882012	10.6501	109	37.94
Turdus_poliocephalus_tolokiwae_AMNH836154	0.88542	15.5665	133	37.94
Turdus_poliocephalus_vanikorensis_AMNH214400	0.883691	14.242	122	38.44
Turdus_poliocephalus_vanikorensis_AMNH214427	0.882741	12.8185	116	38.44
Turdus_poliocephalus_vanikorensis_AMNH214440	0.883652	13.7555	123	38.44
Turdus_poliocephalus_versteegi_AMNH340312	0.884138	14.2865	120	38.44
Turdus_poliocephalus_vinitinctus_AMNH575436	0.880307	10.9565	107	38.44
Turdus_poliocephalus_vitiensis_AMNH223923	0.881322	10.3983	117	38.94
Turdus_poliocephalus_whiteheadi_AMNH575625	0.877794	7.49151	108	38.44
Turdus_poliocephalus_whitneyi_AMNH21512	0.907967	11.2542	149	37.44
Turdus_poliocephalus_xanthopus_AMNH575554	0.883249	14.3637	114	38.44
