individual	Coverage	Depth	Fraglen	GC
Cataponera_turdoides	0.998805	406.925	186	47.99
Turdus_celaenops_NRM90188019	0.996355	229.668	149	47.99
Turdus_chrysolaus_orii_UWBM83174	0.999821	984.084	144	48.49
Turdus_feae_BMNH1905910913	0.997251	61.3077	112	46.98
Turdus_merula	0.986135	23.859	150	47.49
Turdus_niveiceps_NRM569330	0.998147	218.575	160	48.49
Turdus_obscurus_UWBM78352	1	996.953	146	48.49
Turdus_pallidus_UWBM75229	0.999701	996.611	147	48.99
Turdus_poliocephalus_albifrons_AMNH336537	0.99486	416.138	184	47.49
Turdus_poliocephalus_becki_AMNH213123	0.99498	246.237	155	46.98
Turdus_poliocephalus_becki_AMNH213130	0.99498	243.037	156	46.98
Turdus_poliocephalus_becki_AMNH213136	0.99498	220.522	152	47.49
Turdus_poliocephalus_becki_AMNH213163	0.99498	188.244	150	47.49
Turdus_poliocephalus_beehleri_USNM584915	0.995637	926.216	149	48.49
Turdus_poliocephalus_bougainvillei_AMNH226224	0.99486	248.938	156	46.98
Turdus_poliocephalus_canescens_QMO19743	0.994621	26.2509	117	48.99
Turdus_poliocephalus_celebensis_AMNH299444	0.995578	304.392	178	47.49
Turdus_poliocephalus_deningeri_ZMUC148358	0.993665	988.022	147	48.99
Turdus_poliocephalus_efatensis_AMNH213129	0.99498	250.022	159	47.49
Turdus_poliocephalus_efatensis_AMNH21349	0.994143	989.818	147	47.99
Turdus_poliocephalus_erythropleurus_AMNH338105	0.993008	254.056	164	46.98
Turdus_poliocephalus_erythropleurus_AMNH768697	0.99498	311.306	174	47.99
Turdus_poliocephalus_fumidus_NRM569331	0.996534	175.227	146	47.99
Turdus_poliocephalus_hades_AMNH223922	0.99498	311.943	176	47.99
Turdus_poliocephalus_heinrothi_AMNH575398	0.99498	259.152	173	46.98
Turdus_poliocephalus_hygroscopus_AMNH12571	0.996534	989.168	146	47.99
Turdus_poliocephalus_indrapurae_AMNH575637	0.995637	198.344	142	47.49
Turdus_poliocephalus_javanicus_AMNH575611	0.995518	192.922	137	48.49
Turdus_poliocephalus_katanglad_ZMUC138022	0.995637	379.12	184	47.49
Turdus_poliocephalus_kelleri_ZMUC141795	0.995637	254.667	156	47.49
Turdus_poliocephalus_kulambangrae_AMNH215	0.993187	989.212	146	48.49
Turdus_poliocephalus_layardi_AMNH252626	0.995458	176.461	139	47.99
Turdus_poliocephalus_layardi_AMNH252627	0.994741	248.102	156	46.98
Turdus_poliocephalus_layardi_AMNH252636	0.994801	197.397	143	48.99
Turdus_poliocephalus_layardi_AMNH252655	0.994801	330.83	183	47.49
Turdus_poliocephalus_loeseri_YPM41020	0.99486	138.587	128	47.99
Turdus_poliocephalus_malekulae_AMNH21367	0.993725	989.67	147	47.99
Turdus_poliocephalus_malekulae_AMNH214424	0.996115	232.473	155	47.49
Turdus_poliocephalus_malekulae_AMNH216313	0.99498	326.3	185	47.49
Turdus_poliocephalus_malindangensis_ZMUC141794	0.996534	347.334	187	47.49
Turdus_poliocephalus_mareensis_AMNH575490	0.995458	116.256	129	46.98
Turdus_poliocephalus_mayonensis_ZMUC02632	0.991992	12.2528	144	48.99
Turdus_poliocephalus_mindorensis_AMNH575605	0.99498	336.39	179	46.98
Turdus_poliocephalus_nigrorum_ZMUC138023	0.995578	196.185	139	46.98
Turdus_poliocephalus_papuensis_AMNH19847	0.994024	992.039	146	47.99
Turdus_poliocephalus_papuensis_ZMUC150143	0.993665	991.92	146	47.99
Turdus_poliocephalus_papuensis_ZMUC192303	0.997789	96.7924	147	48.99
Turdus_poliocephalus_placens_AMNH21538	0.99498	992.299	147	47.99
Turdus_poliocephalus_placens_AMNH216295	0.99498	281.496	175	46.98
Turdus_poliocephalus_poliocephalus_AMNH454235	0.995458	206.668	149	47.99
Turdus_poliocephalus_pritzbueri_AMNH336817	0.994801	350.995	188	47.49
Turdus_poliocephalus_pritzbueri_RMNH146375	0.992888	98.6915	124	47.49
Turdus_poliocephalus_rennellianus_AMNH6594	0.995637	990.363	147	48.49
Turdus_poliocephalus_ruficeps_AMNH252598	0.992649	224.388	151	47.49
Turdus_poliocephalus_samoensis_AMNH206154	0.995697	282.61	170	48.49
Turdus_poliocephalus_samoensis_AMNH206897	0.995637	273.117	162	48.49
Turdus_poliocephalus_schlegelii_AMNH345779	0.995637	240.247	157	46.98
Turdus_poliocephalus_seebohmi_AMNH575639	0.99498	290.313	163	47.99
Turdus_poliocephalus_sladeni_AMNH22868	0.995637	989.7	146	48.49
