branch	branch_descendants	Turdus_merula	Cataponera_turdoides	Turdus_niveiceps_NRM569330	Tp_mindorensis_AMNH575605	Turdus_pallidus_UWBM75229	Turdus_celaenops_NRM90188019	Turdus_chrysolaus_orii_UWBM83174	Turdus_feae_BMNH1905910913	Turdus_obscurus_UWBM78352	Tp_sspunknown_FMNH358378	Tp_thomassoni_AMNH416872	Tp_mayonensis_ZMUC02632	Tp_nigrorum_ZMUC138023	Tp_sspunknown_CMCB36870	Tp_malindangensis_ZMUC141794	Tp_deningeri_ZMUC148358	Tp_katanglad_ZMUC138022	Tp_seebohmi_AMNH575639	Tp_kelleri_ZMUC141795	Tp_sspunknown_CMCB37307	Tp_stresemanni_RMNH81993	Tp_erythropleurus_AMNH768697	Tp_erythropleurus_AMNH338105	Tp_versteegi_AMNH340312	Tp_whiteheadi_AMNH575625	Tp_sterlingi_AMNH345801	Tp_schlegelii_AMNH345779	Tp_celebensis_AMNH299444	Tp_hygroscopus_AMNH12571	Tp_papuensis_ZMUC150143	Tp_beehleri_USNM584915	Tp_bougainvillei_AMNH226224	Tp_papuensis_ZMUC192303	Tp_papuensis_AMNH19847	Tp_tolokiwae_AMNH836154	Tp_heinrothi_AMNH575398	Tp_javanicus_AMNH575611	Tp_fumidus_NRM569331	Tp_indrapurae_AMNH575637	Tp_loeseri_YPM41020	Tp_kulambangrae_AMNH215	Tp_sladeni_AMNH22868	Tp_rennellianus_AMNH6594	Tp_whitneyi_AMNH21512	Tp_placens_AMNH21538	Tp_xanthopus_AMNH575554	Tp_albifrons_AMNH336537	Tp_efatensis_AMNH21349	Tp_efatensis_AMNH213129	Tp_pritzbueri_RMNH146375	Tp_mareensis_AMNH575490	Tp_becki_AMNH213163	Tp_vinitinctus_AMNH575436	Tp_poliocephalus_AMNH454235	Tp_pritzbueri_AMNH336817	Tp_sspunknown_AMNH336962	Tp_malekulae_AMNH216313	Tp_hades_AMNH223922	Tp_samoensis_AMNH206154	Tp_samoensis_AMNH206897	Tp_malekulae_AMNH21367	Tp_malekulae_AMNH214424	Tp_becki_AMNH213123	Tp_becki_AMNH213130	Tp_becki_AMNH213136	Tp_ruficeps_AMNH252598	Tp_placens_AMNH216295	Tp_tempesti_AMNH252562	Tp_vanikorensis_AMNH214400	Tp_vitiensis_AMNH223923	Tp_vanikorensis_AMNH214440	Tp_vanikorensis_AMNH214427	Tp_layardi_AMNH252626	Tp_layardi_AMNH252636	Tp_layardi_AMNH252627	Tp_layardi_AMNH252655
b2	Cataponera_turdoides	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b3	Turdus_niveiceps_NRM569330,Turdus_celaenops_NRM90188019,Turdus_chrysolaus_orii_UWBM83174,Turdus_pallidus_UWBM75229,Turdus_feae_BMNH1905910913,Turdus_obscurus_UWBM78352,Tp_mindorensis_AMNH575605,Tp_sspunknown_FMNH358378,Tp_thomassoni_AMNH416872,Tp_mayonensis_ZMUC02632,Tp_nigrorum_ZMUC138023,Tp_sspunknown_CMCB36870,Tp_malindangensis_ZMUC141794,Tp_katanglad_ZMUC138022,Tp_kelleri_ZMUC141795,Tp_sspunknown_CMCB37307,Tp_erythropleurus_AMNH768697,Tp_erythropleurus_AMNH338105,Tp_sterlingi_AMNH345801,Tp_schlegelii_AMNH345779,Tp_celebensis_AMNH299444,Tp_hygroscopus_AMNH12571,Tp_seebohmi_AMNH575639,Tp_stresemanni_RMNH81993,Tp_whiteheadi_AMNH575625,Tp_javanicus_AMNH575611,Tp_fumidus_NRM569331,Tp_indrapurae_AMNH575637,Tp_loeseri_YPM41020,Tp_deningeri_ZMUC148358,Tp_versteegi_AMNH340312,Tp_papuensis_ZMUC150143,Tp_papuensis_ZMUC192303,Tp_papuensis_AMNH19847,Tp_beehleri_USNM584915,Tp_tolokiwae_AMNH836154,Tp_heinrothi_AMNH575398,Tp_bougainvillei_AMNH226224,Tp_kulambangrae_AMNH215,Tp_sladeni_AMNH22868,Tp_rennellianus_AMNH6594,Tp_efatensis_AMNH21349,Tp_efatensis_AMNH213129,Tp_becki_AMNH213163,Tp_malekulae_AMNH214424,Tp_becki_AMNH213123,Tp_becki_AMNH213130,Tp_becki_AMNH213136,Tp_mareensis_AMNH575490,Tp_malekulae_AMNH216313,Tp_malekulae_AMNH21367,Tp_placens_AMNH216295,Tp_vanikorensis_AMNH214400,Tp_vanikorensis_AMNH214440,Tp_vanikorensis_AMNH214427,Tp_whitneyi_AMNH21512,Tp_placens_AMNH21538,Tp_albifrons_AMNH336537,Tp_pritzbueri_RMNH146375,Tp_pritzbueri_AMNH336817,Tp_sspunknown_AMNH336962,Tp_xanthopus_AMNH575554,Tp_vinitinctus_AMNH575436,Tp_poliocephalus_AMNH454235,Tp_samoensis_AMNH206154,Tp_samoensis_AMNH206897,Tp_hades_AMNH223922,Tp_ruficeps_AMNH252598,Tp_tempesti_AMNH252562,Tp_vitiensis_AMNH223923,Tp_layardi_AMNH252626,Tp_layardi_AMNH252636,Tp_layardi_AMNH252627,Tp_layardi_AMNH252655	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b4	Turdus_niveiceps_NRM569330	nan	0.077388	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b5	Turdus_celaenops_NRM90188019,Turdus_chrysolaus_orii_UWBM83174,Turdus_pallidus_UWBM75229,Turdus_feae_BMNH1905910913,Turdus_obscurus_UWBM78352,Tp_mindorensis_AMNH575605,Tp_sspunknown_FMNH358378,Tp_thomassoni_AMNH416872,Tp_mayonensis_ZMUC02632,Tp_nigrorum_ZMUC138023,Tp_sspunknown_CMCB36870,Tp_malindangensis_ZMUC141794,Tp_katanglad_ZMUC138022,Tp_kelleri_ZMUC141795,Tp_sspunknown_CMCB37307,Tp_erythropleurus_AMNH768697,Tp_erythropleurus_AMNH338105,Tp_sterlingi_AMNH345801,Tp_schlegelii_AMNH345779,Tp_celebensis_AMNH299444,Tp_hygroscopus_AMNH12571,Tp_seebohmi_AMNH575639,Tp_stresemanni_RMNH81993,Tp_whiteheadi_AMNH575625,Tp_javanicus_AMNH575611,Tp_fumidus_NRM569331,Tp_indrapurae_AMNH575637,Tp_loeseri_YPM41020,Tp_deningeri_ZMUC148358,Tp_versteegi_AMNH340312,Tp_papuensis_ZMUC150143,Tp_papuensis_ZMUC192303,Tp_papuensis_AMNH19847,Tp_beehleri_USNM584915,Tp_tolokiwae_AMNH836154,Tp_heinrothi_AMNH575398,Tp_bougainvillei_AMNH226224,Tp_kulambangrae_AMNH215,Tp_sladeni_AMNH22868,Tp_rennellianus_AMNH6594,Tp_efatensis_AMNH21349,Tp_efatensis_AMNH213129,Tp_becki_AMNH213163,Tp_malekulae_AMNH214424,Tp_becki_AMNH213123,Tp_becki_AMNH213130,Tp_becki_AMNH213136,Tp_mareensis_AMNH575490,Tp_malekulae_AMNH216313,Tp_malekulae_AMNH21367,Tp_placens_AMNH216295,Tp_vanikorensis_AMNH214400,Tp_vanikorensis_AMNH214440,Tp_vanikorensis_AMNH214427,Tp_whitneyi_AMNH21512,Tp_placens_AMNH21538,Tp_albifrons_AMNH336537,Tp_pritzbueri_RMNH146375,Tp_pritzbueri_AMNH336817,Tp_sspunknown_AMNH336962,Tp_xanthopus_AMNH575554,Tp_vinitinctus_AMNH575436,Tp_poliocephalus_AMNH454235,Tp_samoensis_AMNH206154,Tp_samoensis_AMNH206897,Tp_hades_AMNH223922,Tp_ruficeps_AMNH252598,Tp_tempesti_AMNH252562,Tp_vitiensis_AMNH223923,Tp_layardi_AMNH252626,Tp_layardi_AMNH252636,Tp_layardi_AMNH252627,Tp_layardi_AMNH252655	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b6	Turdus_celaenops_NRM90188019,Turdus_chrysolaus_orii_UWBM83174,Turdus_pallidus_UWBM75229,Turdus_feae_BMNH1905910913,Turdus_obscurus_UWBM78352	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b7	Tp_mindorensis_AMNH575605,Tp_sspunknown_FMNH358378,Tp_thomassoni_AMNH416872,Tp_mayonensis_ZMUC02632,Tp_nigrorum_ZMUC138023,Tp_sspunknown_CMCB36870,Tp_malindangensis_ZMUC141794,Tp_katanglad_ZMUC138022,Tp_kelleri_ZMUC141795,Tp_sspunknown_CMCB37307,Tp_erythropleurus_AMNH768697,Tp_erythropleurus_AMNH338105,Tp_sterlingi_AMNH345801,Tp_schlegelii_AMNH345779,Tp_celebensis_AMNH299444,Tp_hygroscopus_AMNH12571,Tp_seebohmi_AMNH575639,Tp_stresemanni_RMNH81993,Tp_whiteheadi_AMNH575625,Tp_javanicus_AMNH575611,Tp_fumidus_NRM569331,Tp_indrapurae_AMNH575637,Tp_loeseri_YPM41020,Tp_deningeri_ZMUC148358,Tp_versteegi_AMNH340312,Tp_papuensis_ZMUC150143,Tp_papuensis_ZMUC192303,Tp_papuensis_AMNH19847,Tp_beehleri_USNM584915,Tp_tolokiwae_AMNH836154,Tp_heinrothi_AMNH575398,Tp_bougainvillei_AMNH226224,Tp_kulambangrae_AMNH215,Tp_sladeni_AMNH22868,Tp_rennellianus_AMNH6594,Tp_efatensis_AMNH21349,Tp_efatensis_AMNH213129,Tp_becki_AMNH213163,Tp_malekulae_AMNH214424,Tp_becki_AMNH213123,Tp_becki_AMNH213130,Tp_becki_AMNH213136,Tp_mareensis_AMNH575490,Tp_malekulae_AMNH216313,Tp_malekulae_AMNH21367,Tp_placens_AMNH216295,Tp_vanikorensis_AMNH214400,Tp_vanikorensis_AMNH214440,Tp_vanikorensis_AMNH214427,Tp_whitneyi_AMNH21512,Tp_placens_AMNH21538,Tp_albifrons_AMNH336537,Tp_pritzbueri_RMNH146375,Tp_pritzbueri_AMNH336817,Tp_sspunknown_AMNH336962,Tp_xanthopus_AMNH575554,Tp_vinitinctus_AMNH575436,Tp_poliocephalus_AMNH454235,Tp_samoensis_AMNH206154,Tp_samoensis_AMNH206897,Tp_hades_AMNH223922,Tp_ruficeps_AMNH252598,Tp_tempesti_AMNH252562,Tp_vitiensis_AMNH223923,Tp_layardi_AMNH252626,Tp_layardi_AMNH252636,Tp_layardi_AMNH252627,Tp_layardi_AMNH252655	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b8	Turdus_pallidus_UWBM75229,Turdus_feae_BMNH1905910913,Turdus_obscurus_UWBM78352	nan	0	0	0	nan	nan	nan	nan	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b9	Turdus_celaenops_NRM90188019,Turdus_chrysolaus_orii_UWBM83174	nan	0	0	0.041127	nan	nan	nan	nan	nan	0.0431665	0.0427991	0.041081	0.040036	0.0385577	0.0404119	0.0355225	0.0396461	0.0391649	0.0411175	0.0390933	0.0393612	0.0400688	0.0401812	0.0358606	0.0398402	0.0404803	0.0391172	0.0375836	0.0351266	0.0353125	0.0378012	0.0369668	0.0351665	0.0346296	0.0376381	0.0381837	0.0390411	0.0408881	0.040141	0.037633	0.0355372	0.0382525	0.0361213	0.0369034	0.0360712	0.037336	0.035986	0.0354455	0.0346493	0.0370736	0.0377027	0.0355102	0.0359457	0.0370699	0.0368639	0.036133	0.0354922	0.0371155	0.0362913	0.0360374	0.0354616	0.036533	0.0349607	0.0366333	0.0363293	0.0364279	0.0366669	0.0380895	0.0366403	0.0368849	0.0371934	0.0368394	0.0367834	0.0365886	0.0369471	0.036386
b10	Tp_mindorensis_AMNH575605	nan	0	0	nan	0	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b11	Tp_sspunknown_FMNH358378,Tp_thomassoni_AMNH416872,Tp_mayonensis_ZMUC02632,Tp_nigrorum_ZMUC138023,Tp_sspunknown_CMCB36870,Tp_malindangensis_ZMUC141794,Tp_katanglad_ZMUC138022,Tp_kelleri_ZMUC141795,Tp_sspunknown_CMCB37307,Tp_erythropleurus_AMNH768697,Tp_erythropleurus_AMNH338105,Tp_sterlingi_AMNH345801,Tp_schlegelii_AMNH345779,Tp_celebensis_AMNH299444,Tp_hygroscopus_AMNH12571,Tp_seebohmi_AMNH575639,Tp_stresemanni_RMNH81993,Tp_whiteheadi_AMNH575625,Tp_javanicus_AMNH575611,Tp_fumidus_NRM569331,Tp_indrapurae_AMNH575637,Tp_loeseri_YPM41020,Tp_deningeri_ZMUC148358,Tp_versteegi_AMNH340312,Tp_papuensis_ZMUC150143,Tp_papuensis_ZMUC192303,Tp_papuensis_AMNH19847,Tp_beehleri_USNM584915,Tp_tolokiwae_AMNH836154,Tp_heinrothi_AMNH575398,Tp_bougainvillei_AMNH226224,Tp_kulambangrae_AMNH215,Tp_sladeni_AMNH22868,Tp_rennellianus_AMNH6594,Tp_efatensis_AMNH21349,Tp_efatensis_AMNH213129,Tp_becki_AMNH213163,Tp_malekulae_AMNH214424,Tp_becki_AMNH213123,Tp_becki_AMNH213130,Tp_becki_AMNH213136,Tp_mareensis_AMNH575490,Tp_malekulae_AMNH216313,Tp_malekulae_AMNH21367,Tp_placens_AMNH216295,Tp_vanikorensis_AMNH214400,Tp_vanikorensis_AMNH214440,Tp_vanikorensis_AMNH214427,Tp_whitneyi_AMNH21512,Tp_placens_AMNH21538,Tp_albifrons_AMNH336537,Tp_pritzbueri_RMNH146375,Tp_pritzbueri_AMNH336817,Tp_sspunknown_AMNH336962,Tp_xanthopus_AMNH575554,Tp_vinitinctus_AMNH575436,Tp_poliocephalus_AMNH454235,Tp_samoensis_AMNH206154,Tp_samoensis_AMNH206897,Tp_hades_AMNH223922,Tp_ruficeps_AMNH252598,Tp_tempesti_AMNH252562,Tp_vitiensis_AMNH223923,Tp_layardi_AMNH252626,Tp_layardi_AMNH252636,Tp_layardi_AMNH252627,Tp_layardi_AMNH252655	nan	0	0	nan	0	0	0	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
