Species,Display Name,Museum Number,Study ID,Clade,Locality,Locality Notes,Lat,Long,Year collected,Sex (phenotype),Sex (genetic),Coverage,Depth,Fraglen,GC,Read dosage,5’ C>T,3’ G>A,Heterozygosity,Coverage (Mt),Depth (Mt),Fraglen (Mt),GC (Mt)
Cataponera_turdoides,Cataponera turdoides turdoides,,,,Indonesia: C. Celebes; Lombasang Lompobatang,,-5.261461,119.854915,,,F,0.878456,7.20677,123,38.94,0.47244337408164,0.0456157,0.0455249,0.00352577,0.998805,406925,186,47.99
Turdus_celaenops,T. celaenops,NRM90188019,Tcel90188019,,"Japan: Riu Kiu Isl., Hachijoshima","This probably refers to Hachijo-Jima in the Izu Islands (not the Rykyu Islands as stated on the label). I've contacted the museum for confirmation, but for now centroid is for Hachijo-Jima in the Izu Islands.",33.110582,139.795619,1922,M,F,0.882567,11.0129,111,37.94,0.492624836084971,0.0349526,0.0349629,0.0748609,0.996355,229668,149,47.99
Turdus_chrysolaus_orii,T. chrysolaus orii,UWBM83174,Tchry00083174,,Russia: Sakhalinskaya Oblast'; Nevel'skiy Rayon; Ostrov Sakhalin; Kitosia Bliz river mouth,coordinates for actual collecting locality within the breeding range,46.366667,141.866667,2003,F,F,0.894912,6.85897,152,39.45,0.480880237626779,0.0077764,0.00796454,0.127553,0.999821,984084,144,48.49
Turdus_feae,T. feae,BMNH1905910913,Tfea05910913,,"Mt. Victoria, S. Chin Hills, Myanmar","Collected in its winter range (actual collection locality 21.233813,  93.902916).  Breeds in NE China; centroid of breeding range given.",39.00633,113.255592,,,M,0.885093,11.8565,109,38.94,0.945954122290609,0.0409831,0.0408295,0.126128,0.997251,61.3077,112,46.98
Turdus_merula,T. merula merula,,,,"Sweden: Uppland, Vaxholm, Bogesund, Ådalen",,59.401784,18.245926,,,M,0.941377,19.6788,147,40.45,0.972312471421681,0.0182112,0.00980288,0.00714211,0.986135,23859,150,47.49
Turdus_niveiceps,T. niveiceps,NRM569330,Tniv00569330,,Taiwan,coordinates for centroid of Taiwan island,23.697811,120.960512,1916,F,F,0.886903,15.6742,143,37.44,0.503512755551583,0.0327559,0.0327976,0.0425346,0.998147,218575,160,48.49
Turdus_obscurus,T. obscurus,UWBM78352,Tobs00078352,,"Russia: Irkutskaya Oblast'; Irkutskiy Rayon; Yerbogachen, 105 km N; Nizhnyaya Tunguska river",coordinates for actual collecting locality within the breeding range,62.17,108.333333,2004,M,M,0.912045,10.4768,149,36.93,0.981117717754306,0.0117207,0.0112981,0.153749,1,996953,146,48.49
Turdus_pallidus,T. pallidus,UWBM75229,Tpal00075229,,"Russia: Primorskiy Kray; Anuchinskiy Rayon; Arsen'yev, 22 km N, 18 km W; Khrebet Siniy",coordinates for actual collecting locality within the breeding range,44.367333,133.0265,2002,F,F,0.914573,17.2924,150,37.94,0.502399319452407,0.0126681,0.0114719,0.111263,0.999701,996611,147,48.99
Turdus_poliocephalus_albifrons,"T. p. albifrons  (Erromango, Vanuatu)",AMNH336537,Tpol00336537,L,"Erromango I., Vanuatu",,-18.827826,169.116213,1937,M,M,0.881056,10.7931,114,38.94,0.930700389857979,0.040424,0.0411461,0.0270003,0.99486,416138,184,47.49
Turdus_poliocephalus_becki,"T. p. becki  (Lopevi, Vanuatu)",AMNH213123,Tpol00213123,K,"Lopevi, Vanuatu",,-16.512385,168.341965,1926,M,M,0.885474,21.8036,114,38.44,0.944057438396215,0.0460227,0.0458043,0.0325935,0.99498,246237,155,46.98
